FRAUD_1_PREDICTION,FRAUD_0_PREDICTION,FRAUD_PREDICTION,THRESHOLD,POSITIVE_CLASS,EXPLANATION_1_FEATURE_NAME,EXPLANATION_1_STRENGTH,EXPLANATION_1_ACTUAL_VALUE,EXPLANATION_1_QUALITATIVE_STRENGTH,EXPLANATION_2_FEATURE_NAME,EXPLANATION_2_STRENGTH,EXPLANATION_2_ACTUAL_VALUE,EXPLANATION_2_QUALITATIVE_STRENGTH,EXPLANATION_3_FEATURE_NAME,EXPLANATION_3_STRENGTH,EXPLANATION_3_ACTUAL_VALUE,EXPLANATION_3_QUALITATIVE_STRENGTH,SHAP_BASE_VALUE,SHAP_REMAINING_TOTAL,DEPLOYMENT_APPROVAL_STATUS,ID,DATE,POLICY_LENGTH,LOCALITY,REGION,GENDER,CLAIM_POLICY_DIFF_A,CLAIM_POLICY_DIFF_B,CLAIM_POLICY_DIFF_C,CLAIM_POLICY_DIFF_D,CLAIM_POLICY_DIFF_E,POLICY_CLAIM_DAY_DIFF,DISTINCT_PARTIES_ON_CLAIM,CLM_AFTER_RNWL,NOTIF_AFT_RENEWAL,CLM_DURING_CAX,COMPLAINT,CLM_before_PAYMENT,PROP_before_CLM,NCD_REC_before_CLM,NOTIF_DELAY,ACCIDENT_NIGHT,NUM_PI_CLAIM,NEW_VEHICLE_BEFORE_CLAIM,PERSONAL_INJURY_INDICATOR,CLAIM_TYPE_ACCIDENT,CLAIM_TYPE_FIRE,CLAIM_TYPE_MOTOR_THEFT,CLAIM_TYPE_OTHER,CLAIM_TYPE_WINDSCREEN,LOCAL_TEL_MATCH,LOCAL_M_CLM_ADD_MATCH,LOCAL_M_CLM_PERS_MATCH,LOCAL_NON_CLM_ADD_MATCH,LOCAL_NON_CLM_PERS_MATCH,federal_TEL_MATCH,federal_CLM_ADD_MATCH,federal_CLM_PERS_MATCH,federal_NON_CLM_ADD_MATCH,federal_NON_CLM_PERS_MATCH,SCR_LOCAL_RULE_COUNT,SCR_NAT_RULE_COUNT,RULE_MATCHES,CLAIM_DESCRIPTION
0.0643069022,0.9356930978,0,0.5,1,NCD_REC_before_CLM,0.4351440103,0,,GENDER,0.4343832789,1,,RULE_MATCHES,-0.3804206877,0,,-2.6054468535,2.1806471542,APPROVED,900001,18/01/2015,9 month,SL6,SR,1,1,0,0,0,0,154.5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,customer reported incident during business hours normal claim process followed
0.1372399327,0.8627600673,0,0.5,1,DISTINCT_PARTIES_ON_CLAIM,0.723779278,6,,NCD_REC_before_CLM,0.4427242097,0,,RULE_MATCHES,-0.3920435553,0,,-2.6054468535,1.9682268538,APPROVED,900002,30/09/2014,9 month,NR30,M,1,0,0,0,0,1,131.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,customer reported incident during business hours normal claim process followed
0.0977125215,0.9022874785,0,0.5,1,NCD_REC_before_CLM,0.4779342922,0,,GENDER,0.4104906459,1,,RULE_MATCHES,-0.3804206877,0,,-2.6054468535,2.1951551246,APPROVED,900003,05/11/2014,9 month,LA4,SR,1,1,1,1,1,1,42.9,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,customer reported incident during business hours normal claim process followed
0.9664651073,0.0335348927,1,0.5,1,LOCAL_M_CLM_PERS_MATCH,1.4361794591,1,,CLAIM_TYPE_MOTOR_THEFT,1.1006214024,1,,SCR_LOCAL_RULE_COUNT,0.8890333699,3,,-2.6054468535,0.1460777293,APPROVED,900004,30/09/2014,6 month,M28,CM,1,0,1,0,0,0,46.6,5,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,2,1,customer reported incident during business hours normal claim process followed
0.9541396507,0.0458603493,1,0.5,1,LOCAL_M_CLM_PERS_MATCH,1.206598024,1,,CLAIM_TYPE_MOTOR_THEFT,1.0198981283,1,,NUM_PI_CLAIM,0.9745391835,3,,-2.6054468535,0.3585511683,APPROVED,900005,30/09/2014,6 month,SL6,LN,1,1,0,1,1,0,7.4,1,0,0,1,0,0,0,0,0,1,3,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,2,1,customer reported incident during business hours normal claim process followed
0.9699105923,0.0300894077,1,0.5,1,NUM_PI_CLAIM,1.0642397599,4,,LOCAL_M_CLM_PERS_MATCH,1.0276567219,1,,CLAIM_TYPE_MOTOR_THEFT,0.9848041582,1,,-2.6054468535,0.4986568058,APPROVED,900006,22/07/2014,9 month,CM8,LA,1,1,1,1,0,1,129.3,9,0,0,1,0,0,0,0,0,1,4,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,2,1,customer reported incident during business hours normal claim process followed
0.0514712021,0.9485287979,0,0.5,1,DISTINCT_PARTIES_ON_CLAIM,0.9158563295,8,,RULE_MATCHES,-0.3657263904,0,,GENDER,-0.3146077549,0,,-2.6054468535,2.4213958714,APPROVED,900007,05/11/2014,9 month,SL6,NR,0,0,1,1,1,1,20.2,8,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,customer reported incident during business hours normal claim process followed
0.0509990216,0.9490009784,0,0.5,1,DISTINCT_PARTIES_ON_CLAIM,0.640174159,4,,RULE_MATCHES,-0.3671217517,0,,NUM_PI_CLAIM,0.324711537,2,,-2.6054468535,2.0586819308,APPROVED,900008,05/11/2014,6 month,NR30,NE,0,1,1,0,0,1,80.0,4,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,customer reported incident during business hours normal claim process followed
0.0835449906,0.9164550094,0,0.5,1,DISTINCT_PARTIES_ON_CLAIM,0.67379774,5,,RULE_MATCHES,-0.3894900479,0,,GENDER,0.3272610624,1,,-2.6054468535,2.0774230896,APPROVED,900009,05/11/2014,6 month,CM8,SL,1,0,0,0,0,0,36.7,5,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,customer reported incident during business hours normal claim process followed
0.0477393365,0.9522606635,0,0.5,1,NCD_REC_before_CLM,0.4139292279,0,,GENDER,0.382093355,1,,RULE_MATCHES,-0.3728833653,0,,-2.6054468535,2.2300469723,APPROVED,900010,30/09/2014,6 month,M28,OX,1,1,0,0,1,0,163.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,customer reported incident during business hours normal claim process followed
